"","facebook_S_alphas","facebook_S_gammas","facebook_S_thetas","newsletter_alphas","newsletter_gammas","newsletter_thetas","ooh_S_alphas","ooh_S_gammas","ooh_S_thetas","print_S_alphas","print_S_gammas","print_S_thetas","search_S_alphas","search_S_gammas","search_S_thetas","tv_S_alphas","tv_S_gammas","tv_S_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"22",2.5444205895,0.63815639704,0.08184397404,1.84376089025,0.77865486088,0.28419807688,0.655145568325,0.48626643357,0.34739675704,2.482010436,0.69568434955,0.26461391503,1.54609143275,0.49253895213,0.12550808253,2.36083864075,0.40056637318,0.3543921924,0.64389108257,0.897756894188591,0.708326750186678,0.915930916935923,0.0733711524420173,0.126540563591833,0.077944280954289,0.126540563591833,0.48405329089983,0,315880.228790773,0.004724464038,65481090.2533626,1e-04,1,0.0324733257293701,17.4895195960999,"1_413_1",1,413,1,413,FALSE,TRUE,8,0.121465654204329,1,FALSE
"23",2.61962797625,0.322168081208,0.12387799026,0.90976149375,0.78686118124,0.15858875866,0.7553215215,0.37329620837,0.1948213636,1.91609755525,0.62073437235,0.20543264539,1.58285918725,0.69092752629,0.07476196326,2.293855914,0.327790816914,0.4604218266,0.56212021325,0.911214320020736,0.855692678472894,0.844560557354554,0.0622244530634834,0.0868355153912451,0.114754990997443,0.0868355153912451,0.613572872146742,0,173295.12135747,0.002546745756,65481090.2533626,1e-04,1,0.0379428863525391,17.6079814434052,"1_416_1",1,416,1,416,FALSE,TRUE,5,0.207502778112575,2,FALSE
"24",2.45631974975,0.37658713013,0.11573989944,0.989686284,0.71404257783,0.17573218429,1.204505793,0.51301265657,0.33154824598,2.54764475075,0.80908579645,0.30774441892,1.51275338075,0.55581360504,0.0949419411,2.808527638,0.38466561852,0.306251797585,0.521095538336,0.885713907843828,0.80109696141813,0.817823034188841,0.0719824552804753,0.0984603788121491,0.124189856601147,0.0984603788121491,0.66673627510769,0,312574.910675293,0.004673981545,65481090.2533626,1e-04,1,0.0337259769439697,17.8064050674438,"1_420_1",1,420,1,420,FALSE,TRUE,8,0.242115602102775,2,FALSE
"25",2.635130349,0.90930053947,0.06172513215,2.512145859,0.96207033837,0.26856047515,0.5346772591,0.356140478058,0.35423831875,2.5533671715,0.70300028174,0.21739965079,1.76567101975,0.5281520073,0.13961065329,1.85071675,0.307364655452,0.54426783755,0.53130904757,0.889143457929033,0.781522020160823,0.789817667115178,0.0705772115153844,0.102692301674436,0.133522124842178,0.102692301674436,0.506241492367557,0,323930.351115778,0.004847414456,65481090.2533626,1e-04,1,0.0351366996765137,18.0557999610901,"1_426_1",1,426,1,426,FALSE,TRUE,6,0.144773766814064,1,FALSE
"26",2.7211759295,0.47689619633,0.1141326018,1.271797595,0.74275686728,0.22335896836,0.7214128527,0.367018279055,0.36206427484,2.8299853825,0.78064076725,0.32074953025,1.76329660725,0.4993507691,0.11629831926,2.091647078,0.324138603811,0.3886454764,0.54758940635,0.888996494884774,0.823495090002286,0.809010754889514,0.0697493307101253,0.0902234630957992,0.125028699704552,0.0902234630957992,0.551203298577942,0,310738.551953531,0.004645934633,65481090.2533626,1e-04,1,0.0368165969848633,18.0978076457977,"1_427_1",1,427,1,427,FALSE,TRUE,5,0.170251446842563,1,FALSE
"27",2.641385259,0.77915989842,0.09163600038,1.8498982445,0.91352644976,0.2169789856,0.53845660225,0.353004192304,0.34442291608,2.548507778,0.71349010542,0.22377376303,1.741935213,0.56236253141,0.11765402883,2.177688845,0.332674259471,0.4813064045,0.54286554542,0.848129733257962,0.739600621810897,0.771407263296244,0.0818885829092563,0.108347241472125,0.138703647809359,0.108347241472125,0.518146704982504,0,555803.117402808,0.008388833131,65481090.2533626,1e-04,1,0.0407125949859619,18.1443319320679,"1_428_1",1,428,1,428,FALSE,TRUE,7,0.152978375673079,1,FALSE
"28",2.62083819025,0.99620297327,0.06064077591,2.473541611,0.82418456958,0.33594709036,0.5079322270275,0.317976112707,0.28862015257,2.87482583275,0.7783620835,0.27698709133,2.12038155125,0.53769005379,0.10189665885,2.7140520255,0.349298036851,0.3758452007,0.55743191441,0.908855070149423,0.849562550861952,0.785566544926936,0.0632652168677388,0.0845376149056577,0.132594814219696,0.0845376149056577,0.486261401846327,0,203204.966973613,0.003003562171,65481090.2533626,1e-04,1,0.0486609935760498,18.1999197006226,"1_429_1",1,429,1,429,FALSE,TRUE,2,0.132814913364874,1,FALSE
"29",2.56684899475,0.46326262722,0.10570296681,1.33034982925,0.76743877971,0.20770493758,0.7665716865,0.43608885108,0.24759795124,1.72362978975,0.60258588766,0.17713390909,1.6136025825,0.57505161796,0.09158485716,2.8365149515,0.354360135179,0.333006177165,0.59807007512,0.930990100330485,0.806255619813334,0.978370547380629,0.0556039440693448,0.111775245090464,0.0423083470480978,0.111775245090464,0.459090891431384,0,56815.6949476543,0.000767742458,65481090.2533626,1e-04,1,0.0415771007537842,18.3423619270325,"1_432_1",1,432,1,432,FALSE,TRUE,2,0.102717341126778,2,FALSE
"30",2.571163654,0.73517020736,0.08085192201,1.95887694525,0.81033735641,0.27628671148,0.701172191725,0.42131615706,0.36285361753,2.758183443,0.78145534892,0.24208051636,1.89123926325,0.68033654526,0.1182668154,1.9179524605,0.340251285256,0.3843675175,0.61019670932,0.920713103572123,0.78750184796984,0.957315035140581,0.0600760007783468,0.120935170595266,0.0583234108877449,0.120935170595266,0.506680602770351,0,144094.336158478,0.0021007589,65481090.2533626,1e-04,1,0.0391538143157959,18.5998468399048,"1_438_1",1,438,1,438,FALSE,TRUE,8,0.134075531595178,1,FALSE
"31",2.5047967415,0.9041840805,0.05884147059,2.36392688225,0.67660513121,0.33801167389,0.672915371775,0.48439683752,0.298217698,2.1524855685,0.67233753102,0.22642816012,1.98354678625,0.42404122374,0.10880561739,2.89191276575,0.357668533636,0.32948077557,0.66961465805,0.930845878023086,0.604355942515588,0.8792267697703,0.0593739508654323,0.17989873545862,0.0867898331699917,0.17989873545862,0.460276428371322,0,103782.633511906,0.00148507376,65481090.2533626,1e-04,1,0.0368859767913818,18.6423673629761,"1_439_1",1,439,1,439,FALSE,TRUE,6,0.107863534869674,1,FALSE
