"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","nrmse_val","facebook_S_thetas","newsletter_thetas","ooh_S_thetas","print_S_thetas","search_S_thetas","tv_S_thetas","facebook_S_alphas","newsletter_alphas","ooh_S_alphas","print_S_alphas","search_S_alphas","tv_S_alphas","facebook_S_gammas","newsletter_gammas","ooh_S_gammas","print_S_gammas","search_S_gammas","tv_S_gammas","cluster","n","top_sol"
"1","1_282_1",0,0.626050866079742,0.100087937151928,0.132537822813707,0.0763180899679829,0.100087937151928,0.361978281503995,0.313059535178004,0.319158437220999,0.274122458993737,0.36982397043984,0.251016013611597,0.915598424126335,0.382040302289956,0.327704679349973,0.485145165846536,0.574879997108332,0.874618291472368,0.211922804071506,0.643136529095824,0.229341616851211,0.44028491194613,0.39044028599335,0.0554447626521533,2,26,FALSE
"2","1_312_1",0,0.538352145935875,0.0723432682009972,0.108185688323878,0.0554365350167504,0.0723432682009972,0.361978281503995,0.313059535178004,0.319158437220999,0.274122458993737,0.318903613265104,0.132843704519392,0.822766443950647,0.382040302289956,0.327704679349973,0.485145165846536,0.486444432621218,0.922150525309252,0.211922804071506,0.643136529095824,0.229341616851211,0.44028491194613,0.42977834812946,0.0753414053718836,2,26,FALSE
"3","1_326_1",0,0.484158155082333,0.187153396335885,0.0694889126968754,0.0646332291758126,0.187153396335885,0.461324918580145,0.421152543271989,0.780895970294131,0.568718436632396,0.475859191980847,0.334051381085046,0.753825278618462,0.211569581832508,0.022842758380686,0.896721093796802,0.438774563920875,0.691270956404279,0.14605798689302,0.405477516850496,0.253035471645869,0.582114528836483,0.363627253129001,0.0270171133211002,2,26,FALSE
"4","1_336_1",0,0.509173756940788,0.116126196673497,0.145632457577717,0.0917466883396873,0.116126196673497,0.27693930954947,0.536278191581713,0.795969040978047,0.422833425785093,0.420904673362784,0.367938380729807,0.939068821092992,0.689644541278156,0.0338868329581211,0.840009713551865,0.561681646464579,0.67060048060849,0.727374136018038,0.886017061394967,0.0762453304128637,0.597231734624837,0.388102235514234,0.0359353285671882,1,41,FALSE
"5","1_349_1",0,0.454502254459826,0.282905216317439,0.109490440111776,0.115982529673281,0.282905216317439,0.153648147584802,0.686886047928512,0.982770802639321,0.304117065520343,0.428662722234792,0.114700450019254,0.872989149173991,1,0.101747123727821,0.852287152009146,0.699625602514537,0.953424795591787,0.959203909820944,0.831468883923584,0.359291351469598,0.514231607702232,0.283359631167484,0.0265060203632815,1,41,FALSE
"6","1_352_1",0,0.584978676992689,0.0955733159361841,0.11683468186918,0.0658141664559848,0.0955733159361841,0.470777859683634,0.148123936293544,0.190037335356883,0.608111214635193,0.391131881483125,0.382965492225022,0.826905517425286,0.113369455575436,0.2615519628291,0.438925058098365,0.499570646674153,0.660052016952503,0.0732787974050395,0.707992596450253,0.0120007314433982,0.521574428200819,0.123147700221406,0.0277926317102777,2,26,FALSE
"7","1_356_1",0,0.507522699067037,0.118034834628907,0.136619036065084,0.0868719563661176,0.118034834628907,0.313816431313837,0.513253061985792,0.780895970294131,0.568718436632396,0.431895577109334,0.361160980777616,0.902020112660267,0.594029549342175,0.0316780180299638,0.896721093796802,0.438774563920875,0.674734575721303,0.611110906172332,0.789909152553955,0.253035471645869,0.582114528836483,0.383207239059581,0.034151685520009,1,41,FALSE
"8","1_360_1",0,0.665261294460247,0.0984793910161328,0.124195744612347,0.0719763522746915,0.0984793910161328,0.396913034233489,0.195783189985724,0.694517146640375,0.756498155302622,0.33173769550753,0.00287900585005509,0.776947706051152,0.222434764388658,0.882581557919456,0.837562331650202,0.436548391764804,0.913260679059527,0.083752769266171,0.556834114318779,0.353478586106845,0.763042469415557,0.399006705380621,0.116963421770161,2,26,FALSE
"9","1_366_1",0,0.508402589216686,0.116444602331746,0.145462710818123,0.0918426676637707,0.116444602331746,0.27693930954947,0.536278191581713,0.795969040978047,0.650807287477947,0.420904673362784,0.367938380729807,0.939068821092992,0.689644541278156,0.0338868329581211,0.840009713551865,0.533298672091027,0.67060048060849,0.727374136018038,0.886017061394967,0.0762453304128637,0.597231734624837,0.388102235514234,0.0359353285671882,1,41,FALSE
"10","1_372_1",0,0.619364852397703,0.102459223021171,0.128680094705789,0.0749425286949187,0.102459223021171,0.361978281503995,0.313059535178004,0.319158437220999,0.274122458993737,0.295407886197083,0.500350669654462,0.822766443950647,0.382040302289956,0.327704679349973,0.485145165846536,0.486444432621218,0.510551592542382,0.211922804071506,0.643136529095824,0.229341616851211,0.44028491194613,0.42977834812946,0.0638301333147716,2,26,FALSE
