"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"11","search_S",493754.047024488,19162632.9031433,0.0657858537984026,122054.986644225,0.0619928729755741,19162632.9031433,0.0657858537984026,122054.986644225,0.0619928729755741,TRUE,0.53670960353,0.86910492281153,0.781483987786596,0.790899295667246,0.0763180899679829,0.100087937151928,0.132537822813707,0.100087937151928,0.626050866079742,0,424154.793158085,0.006378153561,65481090.2533626,1e-04,"1_282_1",1,282,1,282,8,809960,5158.98089171975,5754.44238925553,595.461497535789,126172.096248677,0.0644012269879381,0.422424800313113,24.4567868919974,23.6587398181926,0.0422676781470432,2,FALSE,17.5246979508766,1.06903036592595,6.33298912169276,28.7861060071253,0.0332027330280923
"12","newsletter",448880.505186324,13352929.0258689,0.0458409781743598,85050.5033494837,0.0431979486919444,13352929.0258689,0.0458409781743598,85050.5033494837,0.0431979486919444,TRUE,0.53670960353,0.86910492281153,0.781483987786596,0.790899295667246,0.0763180899679829,0.100087937151928,0.132537822813707,0.100087937151928,0.626050866079742,0,424154.793158085,0.006378153561,65481090.2533626,1e-04,"1_282_1",1,282,1,282,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,0.167859686281982
"13","(Intercept)",686167.385376105,107728279.504049,0.371035775981944,686167.385376105,0.335796885493645,107728279.504049,0.371035775981944,686167.385376105,0.335796885493645,TRUE,0.53936560313,0.930398564095628,0.883430571480753,0.856748780369733,0.0554365350167504,0.0723432682009972,0.108185688323878,0.0723432682009972,0.538352145935875,0,56815.6949476543,0.000767742458,65481090.2533626,1e-04,"1_312_1",1,312,1,312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"14","trend",0,0,0,0,0,0,0,0,0,TRUE,0.53936560313,0.930398564095628,0.883430571480753,0.856748780369733,0.0554365350167504,0.0723432682009972,0.108185688323878,0.0723432682009972,0.538352145935875,0,56815.6949476543,0.000767742458,65481090.2533626,1e-04,"1_312_1",1,312,1,312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"15","season",0.320317720513044,117265.04046363,0.000403882114188428,746.911085755605,0.000365523663296724,117265.04046363,0.000403882114188428,746.911085755605,0.000365523663296724,TRUE,0.53936560313,0.930398564095628,0.883430571480753,0.856748780369733,0.0554365350167504,0.0723432682009972,0.108185688323878,0.0723432682009972,0.538352145935875,0,56815.6949476543,0.000767742458,65481090.2533626,1e-04,"1_312_1",1,312,1,312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"16","holiday",0.829172835704926,5770661.18939375,0.0198752060479638,230826.44757575,0.11296194461795,5770661.18939375,0.0198752060479638,230826.44757575,0.11296194461795,TRUE,0.53936560313,0.930398564095628,0.883430571480753,0.856748780369733,0.0554365350167504,0.0723432682009972,0.108185688323878,0.0723432682009972,0.538352145935875,0,56815.6949476543,0.000767742458,65481090.2533626,1e-04,"1_312_1",1,312,1,312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"17","competitor_sales_B",0.163064376648681,142067706.740696,0.489307005135346,904889.851851568,0.442835378717409,142067706.740696,0.489307005135346,904889.851851568,0.442835378717409,TRUE,0.53936560313,0.930398564095628,0.883430571480753,0.856748780369733,0.0554365350167504,0.0723432682009972,0.108185688323878,0.0723432682009972,0.538352145935875,0,56815.6949476543,0.000767742458,65481090.2533626,1e-04,"1_312_1",1,312,1,312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"18","events",0,0,0,0,0,0,0,0,0,TRUE,0.53936560313,0.930398564095628,0.883430571480753,0.856748780369733,0.0554365350167504,0.0723432682009972,0.108185688323878,0.0723432682009972,0.538352145935875,0,56815.6949476543,0.000767742458,65481090.2533626,1e-04,"1_312_1",1,312,1,312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"19","tv_S",343489.174981172,8512435.19587127,0.0293183740883694,54219.3324577788,0.0265338798679379,8512435.19587127,0.0293183740883694,54219.3324577788,0.0265338798679379,TRUE,0.53936560313,0.930398564095628,0.883430571480753,0.856748780369733,0.0554365350167504,0.0723432682009972,0.108185688323878,0.0723432682009972,0.538352145935875,0,56815.6949476543,0.000767742458,65481090.2533626,1e-04,"1_312_1",1,312,1,312,2,2591412.14666667,16505.80985138,25646.1164873089,9140.30663592884,33010.0365730784,0.206047362680601,0.311928044303827,1.99990408651887,3.28486350842371,0.304426651955431,2,FALSE,4.01831988299538,0.170986607047449,2.22484137735003,5.81611660792268,0.207926400772447
"20","ooh_S",167120.393035601,5928877.12663976,0.0204201304941634,37763.5485773233,0.0184807413871798,5928877.12663976,0.0204201304941634,37763.5485773233,0.0184807413871798,TRUE,0.53936560313,0.930398564095628,0.883430571480753,0.856748780369733,0.0554365350167504,0.0723432682009972,0.108185688323878,0.0723432682009972,0.538352145935875,0,56815.6949476543,0.000767742458,65481090.2533626,1e-04,"1_312_1",1,312,1,312,2,8239693.86666667,52482.1265392781,69898.484463934,17416.3579246559,49168.4160648813,0.655151359349006,0.217256637434071,0.936860209505482,0.719550655956379,1.38975622038849,2,FALSE,0.90122589407297,0.0611740102502811,0.256273936446255,1.54112724490256,0.455040683479536
"21","print_S",66943.7792956164,1247909.32980253,0.00429802655969262,7948.46706880594,0.00388982417852876,1247909.32980253,0.00429802655969262,7948.46706880594,0.00388982417852876,TRUE,0.53936560313,0.930398564095628,0.883430571480753,0.856748780369733,0.0554365350167504,0.0723432682009972,0.108185688323878,0.0723432682009972,0.538352145935875,0,56815.6949476543,0.000767742458,65481090.2533626,1e-04,"1_312_1",1,312,1,312,2,601634.977777778,3832.06992215145,4699.65358717493,867.583665023482,6659.23142808331,0.0478369682055284,0.0457281503772977,1.73776354903895,2.07419677361821,0.482114335881261,2,FALSE,3.4909017694519,0.276881757162752,0.566125543610923,6.38154356649789,0.0957916500731102
"22","facebook_S",82194.6721493017,1884388.32943409,0.00649017592485195,12002.4734358859,0.00587377553041455,1884388.32943409,0.00649017592485195,12002.4734358859,0.00587377553041455,TRUE,0.53936560313,0.930398564095628,0.883430571480753,0.856748780369733,0.0554365350167504,0.0723432682009972,0.108185688323878,0.0723432682009972,0.538352145935875,0,56815.6949476543,0.000767742458,65481090.2533626,1e-04,"1_312_1",1,312,1,312,2,334078.021992166,2127.88549039596,2382.77320853623,254.887718140265,5848.55884369688,0.0265630827769259,0.0690511648880951,2.7485308161994,5.64056359708175,0.177287248479455,2,FALSE,15.4363856453315,0.945072677686626,5.52725105217543,25.3768530594549,0.0081250866229797
"23","search_S",250346.5085321,9716129.91602158,0.0334641174956941,61886.1778090547,0.030285883891138,9716129.91602158,0.0334641174956941,61886.1778090547,0.030285883891138,TRUE,0.53936560313,0.930398564095628,0.883430571480753,0.856748780369733,0.0554365350167504,0.0723432682009972,0.108185688323878,0.0723432682009972,0.538352145935875,0,56815.6949476543,0.000767742458,65481090.2533626,1e-04,"1_312_1",1,312,1,312,2,809960,5158.98089171975,5671.353430763,512.372539043251,65644.8498912642,0.0644012269879381,0.356036002996709,12.7243832200707,11.9958145044466,0.0833624094161609,2,FALSE,17.5246979508766,1.06903036592595,6.33298912169276,28.7861060071253,0.0376960644213197
"24","newsletter",247790.562199105,7371070.36749438,0.0253873061577857,46949.4927865884,0.022976162652501,7371070.36749438,0.0253873061577857,46949.4927865884,0.022976162652501,TRUE,0.53936560313,0.930398564095628,0.883430571480753,0.856748780369733,0.0554365350167504,0.0723432682009972,0.108185688323878,0.0723432682009972,0.538352145935875,0,56815.6949476543,0.000767742458,65481090.2533626,1e-04,"1_312_1",1,312,1,312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,0.167859686281982
"25","(Intercept)",680944.202900611,106908239.855396,0.364549887152765,680944.202900611,0.333902667548763,106908239.855396,0.364549887152765,680944.202900611,0.333902667548763,TRUE,0.67104211052,0.918052089750994,0.571802772041627,0.922578067457734,0.0646332291758126,0.187153396335885,0.0694889126968754,0.187153396335885,0.484158155082333,0,185915.46748947,0.002739497713,65481090.2533626,1e-04,"1_326_1",1,326,1,326,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"26","trend",0.0305576907869803,8550157.80704979,0.0291554614304223,54459.6038665592,0.0267044009292303,8550157.80704979,0.0291554614304223,54459.6038665592,0.0267044009292303,TRUE,0.67104211052,0.918052089750994,0.571802772041627,0.922578067457734,0.0646332291758126,0.187153396335885,0.0694889126968754,0.187153396335885,0.484158155082333,0,185915.46748947,0.002739497713,65481090.2533626,1e-04,"1_326_1",1,326,1,326,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"27","season",0.310326067535429,113607.19852831,0.000387392884395588,723.612729479682,0.00035482528468015,113607.19852831,0.000387392884395588,723.612729479682,0.00035482528468015,TRUE,0.67104211052,0.918052089750994,0.571802772041627,0.922578067457734,0.0646332291758126,0.187153396335885,0.0694889126968754,0.187153396335885,0.484158155082333,0,185915.46748947,0.002739497713,65481090.2533626,1e-04,"1_326_1",1,326,1,326,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"28","holiday",0.732505634563122,5097901.97455275,0.0173835018895905,203916.07898211,0.0999907517211785,5097901.97455275,0.0173835018895905,203916.07898211,0.0999907517211785,TRUE,0.67104211052,0.918052089750994,0.571802772041627,0.922578067457734,0.0646332291758126,0.187153396335885,0.0694889126968754,0.187153396335885,0.484158155082333,0,185915.46748947,0.002739497713,65481090.2533626,1e-04,"1_326_1",1,326,1,326,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"29","competitor_sales_B",0.120238482435721,104756206.184918,0.357211597486948,667236.982069543,0.327181298043482,104756206.184918,0.357211597486948,667236.982069543,0.327181298043482,TRUE,0.67104211052,0.918052089750994,0.571802772041627,0.922578067457734,0.0646332291758126,0.187153396335885,0.0694889126968754,0.187153396335885,0.484158155082333,0,185915.46748947,0.002739497713,65481090.2533626,1e-04,"1_326_1",1,326,1,326,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"30","events",0,0,0,0,0,0,0,0,0,TRUE,0.67104211052,0.918052089750994,0.571802772041627,0.922578067457734,0.0646332291758126,0.187153396335885,0.0694889126968754,0.187153396335885,0.484158155082333,0,185915.46748947,0.002739497713,65481090.2533626,1e-04,"1_326_1",1,326,1,326,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"31","tv_S",367463.633432795,12282048.4725512,0.0418809568909701,78229.6081054215,0.0383600810704121,12282048.4725512,0.0418809568909701,78229.6081054215,0.0383600810704121,TRUE,0.67104211052,0.918052089750994,0.571802772041627,0.922578067457734,0.0646332291758126,0.187153396335885,0.0694889126968754,0.187153396335885,0.484158155082333,0,185915.46748947,0.002739497713,65481090.2533626,1e-04,"1_326_1",1,326,1,326,9,2591412.14666667,16505.80985138,29569.9390525781,13064.129201198,77998.9848229906,0.206047362680601,0.254498577624105,4.725547278522,4.73951952735483,0.210991851437335,2,FALSE,4.01831988299538,0.170986607047449,2.22484137735003,5.81611660792268,0.372366496414418
"32","ooh_S",248699.293442881,11990669.3357002,0.0408873736872679,76373.6900363072,0.0374500270727578,11990669.3357002,0.0408873736872679,76373.6900363072,0.0374500270727578,TRUE,0.67104211052,0.918052089750994,0.571802772041627,0.922578067457734,0.0646332291758126,0.187153396335885,0.0694889126968754,0.187153396335885,0.484158155082333,0,185915.46748947,0.002739497713,65481090.2533626,1e-04,"1_326_1",1,326,1,326,9,8239693.86666667,52482.1265392781,81194.551446846,28712.4249075679,91673.7514299769,0.655151359349006,0.248460857121403,1.74676137334807,1.45523238238352,0.687175472526321,2,FALSE,0.90122589407297,0.0611740102502811,0.256273936446255,1.54112724490256,0.688821455683189
"33","print_S",241776.981059146,3090323.59664395,0.0105377950282026,19683.5897875411,0.00965189674719183,3090323.59664395,0.0105377950282026,19683.5897875411,0.00965189674719183,TRUE,0.67104211052,0.918052089750994,0.571802772041627,0.922578067457734,0.0646332291758126,0.187153396335885,0.0694889126968754,0.187153396335885,0.484158155082333,0,185915.46748947,0.002739497713,65481090.2533626,1e-04,"1_326_1",1,326,1,326,9,601634.977777778,3832.06992215145,5225.29453183978,1393.22460968832,6912.54574706256,0.0478369682055284,0.0640351616834751,1.80386733214451,5.13654243983367,0.194683488302373,2,FALSE,3.4909017694519,0.276881757162752,0.566125543610923,6.38154356649789,0.0569175348785705
"34","facebook_S",240517.31297672,6501112.82106239,0.022168356232329,41408.3619175948,0.0203046922849383,6501112.82106239,0.022168356232329,41408.3619175948,0.0203046922849383,TRUE,0.67104211052,0.918052089750994,0.571802772041627,0.922578067457734,0.0646332291758126,0.187153396335885,0.0694889126968754,0.187153396335885,0.484158155082333,0,185915.46748947,0.002739497713,65481090.2533626,1e-04,"1_326_1",1,326,1,326,9,334078.021992166,2127.88549039596,2462.06075996282,334.175269566856,26444.8252843304,0.0265630827769259,0.134710750379455,12.4277482992797,19.4598638434672,0.0513878210065538,2,FALSE,15.4363856453315,0.945072677686626,5.52725105217543,25.3768530594549,0.0221361648158857
"35","search_S",337467.479737422,14395637.9788214,0.0490881545498248,91691.9616485442,0.0449613792977637,14395637.9788214,0.0490881545498248,91691.9616485442,0.0449613792977637,TRUE,0.67104211052,0.918052089750994,0.571802772041627,0.922578067457734,0.0646332291758126,0.187153396335885,0.0694889126968754,0.187153396335885,0.484158155082333,0,185915.46748947,0.002739497713,65481090.2533626,1e-04,"1_326_1",1,326,1,326,9,809960,5158.98089171975,5935.50159250571,776.520700785969,100639.33265921,0.0644012269879381,0.298294653191562,19.5075994215714,17.7732702588047,0.0562642656887868,2,FALSE,17.5246979508766,1.06903036592595,6.33298912169276,28.7861060071253,0.0835303464321505
"36","newsletter",445912.425830839,19575027.2918,0.0667495227672839,124681.702495541,0.0611379799996021,19575027.2918,0.0667495227672839,124681.702495541,0.0611379799996021,TRUE,0.67104211052,0.918052089750994,0.571802772041627,0.922578067457734,0.0646332291758126,0.187153396335885,0.0694889126968754,0.187153396335885,0.484158155082333,0,185915.46748947,0.002739497713,65481090.2533626,1e-04,"1_326_1",1,326,1,326,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,0.337617267211308
