"","solID","dep_var_type","channels","date_min","date_max","periods","constr_low","constr_low_abs","constr_up","constr_up_abs","unconstr_mult","constr_low_unb","constr_low_unb_abs","constr_up_unb","constr_up_unb_abs","histSpendAll","histSpendAllTotal","histSpendAllUnit","histSpendAllUnitTotal","histSpendAllShare","histSpendWindow","histSpendWindowTotal","histSpendWindowUnit","histSpendWindowUnitTotal","histSpendWindowShare","initSpendUnit","initSpendUnitTotal","initSpendShare","initSpendTotal","initResponseUnit","initResponseUnitTotal","initResponseMargUnit","initResponseTotal","initResponseUnitShare","initRoiUnit","initCpaUnit","total_budget_unit","total_budget_unit_delta","optmSpendUnit","optmSpendUnitDelta","optmSpendUnitTotal","optmSpendUnitTotalDelta","optmSpendShareUnit","optmSpendTotal","optmSpendUnitUnbound","optmSpendUnitDeltaUnbound","optmSpendUnitTotalUnbound","optmSpendUnitTotalDeltaUnbound","optmSpendShareUnitUnbound","optmSpendTotalUnbound","optmResponseUnit","optmResponseMargUnit","optmResponseUnitTotal","optmResponseTotal","optmResponseUnitShare","optmRoiUnit","optmCpaUnit","optmResponseUnitLift","optmResponseUnitUnbound","optmResponseMargUnitUnbound","optmResponseUnitTotalUnbound","optmResponseTotalUnbound","optmResponseUnitShareUnbound","optmRoiUnitUnbound","optmCpaUnitUnbound","optmResponseUnitLiftUnbound","optmResponseUnitTotalLift","optmResponseUnitTotalLiftUnbound"
"facebook_S","1_444_1","revenue","facebook_S",2016-01-04,2018-12-31,"157 weeks",0.1,212.788549039596,10,21278.8549039596,3,0.1,212.788549039596,10,21278.8549039596,334078.021992166,12576779.0131033,2127.88549039596,80106.8726949253,0.0265630827769259,334078.021992166,12576779.0131033,2127.88549039596,80106.8726949253,0.0265630827769259,2127.88549039596,80106.8726949253,0.0265630827769259,12576779.0131033,13349.3426017539,193253.515425902,13.1524963314932,30340801.9218666,0.0690768422625273,6.27352489690121,0.159400020950574,80106.8726949253,0,1095.0924051599,-0.485361214171292,40552.2689632974,-0.493772911124187,0.027004466905441,6366706.22723769,212.788549039596,-0.9,8010.68726949254,-0.9,0.0265630827769259,1257677.90131033,3305.93491838803,6.20002259507373,101447.77056218,15927299.9782622,0.0325875561391637,3.01886389021692,0.331250442671711,-0.752352230591963,212.715757990479,1.19972395224016,41941.4030935914,6584800.28569385,0.00507173681137487,0.999657918391541,1.00034219866833,-0.984065450686498,-0.475053427418363,-0.782972107901071
"ooh_S","1_444_1","revenue","ooh_S",2016-01-04,2018-12-31,"157 weeks",0.1,5248.21265392781,10,524821.265392781,3,0.1,5248.21265392781,10,524821.265392781,8239693.86666667,12576779.0131033,52482.1265392781,80106.8726949253,0.655151359349006,8239693.86666667,12576779.0131033,52482.1265392781,80106.8726949253,0.655151359349006,52482.1265392781,80106.8726949253,0.655151359349006,12576779.0131033,56013.0679977,193253.515425902,0.387804483340005,30340801.9218666,0.289842427312412,1.06727893268157,0.936962184278732,80106.8726949253,0,26089.1715521846,-0.502894160878577,40552.2689632974,-0.493772911124187,0.643346777360278,6366706.22723769,5248.21265392781,-0.9,8010.68726949254,-0.9,0.655151359349006,1257677.90131033,44094.908464471,0.530232060729759,101447.77056218,15927299.9782622,0.434656259276237,1.69016131371863,0.591659501305137,-0.212774624909287,30983.7237702171,0.757757789604511,41941.4030935914,6584800.28569385,0.738738370318169,5.90367155702591,0.169386116815714,-0.446848300266478,-0.475053427418363,-0.782972107901071
"print_S","1_444_1","revenue","print_S",2016-01-04,2018-12-31,"157 weeks",0.1,383.206992215145,10,38320.6992215145,3,0.1,383.206992215145,10,38320.6992215145,601634.977777778,12576779.0131033,3832.06992215145,80106.8726949253,0.0478369682055284,601634.977777778,12576779.0131033,3832.06992215145,80106.8726949253,0.0478369682055284,3832.06992215145,80106.8726949253,0.0478369682055284,12576779.0131033,8052.80761875215,193253.515425902,2.8412433307567,30340801.9218666,0.0416696565700498,2.10142502155364,0.475867561175547,80106.8726949253,0,2012.77241906133,-0.474755821279145,40552.2689632974,-0.493772911124187,0.0496340271584564,6366706.22723769,383.206992215145,-0.9,8010.68726949254,-0.9,0.0478369682055284,1257677.90131033,3511.87800121488,2.09594137671047,101447.77056218,15927299.9782622,0.0346175966386799,1.74479636542946,0.573132784898861,-0.5638939650021,840.153536409696,1.13485961275114,41941.4030935914,6584800.28569385,0.0200316030089625,2.19242746995077,0.456115430820821,-0.895669488682025,-0.475053427418363,-0.782972107901071
"search_S","1_444_1","revenue","search_S",2016-01-04,2018-12-31,"157 weeks",0.1,515.898089171975,10,51589.8089171974,3,0.1,515.898089171975,10,51589.8089171974,809960,12576779.0131033,5158.98089171975,80106.8726949253,0.0644012269879381,809960,12576779.0131033,5158.98089171975,80106.8726949253,0.0644012269879381,5158.98089171975,80106.8726949253,0.0644012269879381,12576779.0131033,83332.9040420405,193253.515425902,17.3403527323972,30340801.9218666,0.431210287990815,16.1529778440915,0.0619080896198829,80106.8726949253,0,2628.88841284816,-0.490424859478046,40552.2689632974,-0.493772911124187,0.0648271596153471,6366706.22723769,515.898089171975,-0.9,8010.68726949254,-0.9,0.0644012269879381,1257677.90131033,38430.5512834343,17.3302166460926,101447.77056218,15927299.9782622,0.378821053143591,14.6185555444699,0.0684062113358587,-0.538831008888799,7062.87556686171,10.8107912961332,41941.4030935914,6584800.28569385,0.168398647777735,13.6904472319286,0.073043632765175,-0.915245056582949,-0.475053427418363,-0.782972107901071
"tv_S","1_444_1","revenue","tv_S",2016-01-04,2018-12-31,"157 weeks",0.1,1650.580985138,10,165058.0985138,3,0.1,1650.580985138,10,165058.0985138,2591412.14666667,12576779.0131033,16505.80985138,80106.8726949253,0.206047362680601,2591412.14666667,12576779.0131033,16505.80985138,80106.8726949253,0.206047362680601,16505.80985138,80106.8726949253,0.206047362680601,12576779.0131033,32505.3931656552,193253.515425902,3.3349243663688,30340801.9218666,0.168200785864196,1.96933040295126,0.507786808400149,80106.8726949253,0,8726.34417404339,-0.471316811921605,40552.2689632974,-0.493772911124187,0.215187568960478,6366706.22723769,1650.580985138,-0.9,8010.68726949254,-0.9,0.206047362680601,1257677.90131033,12104.4978946715,1.90465318982751,101447.77056218,15927299.9782622,0.119317534802328,1.38712130226039,0.720917484556284,-0.627615705708155,2841.93446211239,0.769866219547112,41941.4030935914,6584800.28569385,0.0677596420837584,1.72177826335178,0.580794880087115,-0.912570371087985,-0.475053427418363,-0.782972107901071
